address,classification,details,fone,link,name,position,has_instagram,has_facebook,facebook_link,instagram_link,link_problem
Rua Leonor Baron 117,"5,0",Construtora, (47) 3369-6698 · ,http://www.wrsconstrutora.com.br/,WRS Construtora e Incorporadora,1,True,True,http://www.facebook.com/wrsconstutora/,http://www.instagram.com/wrsconstrutora/,
"ED. VALPARAÍSO - R. Mário Padilha, 523","5,0",Construtora, (47) 99653-5352 · ,http://maybelly.com.br/,Maybelly,2,,,,,True
"Av. Sen. Atílio Fontana, 1987","4,0",Construtora, (47) 3369-5000 · ,http://www.imobiliariapillar.com.br/,Pillar Imobiliaria Construtora e Incorporadora,3,True,True,https://www.facebook.com/imobiliariapillar/,,
"R. José Guerreiro Filho, 264","5,0",Construtor Imobiliário, (47) 3366-3001 · ,http://julioaimoveis.com.br/,Julio Abraham Construtora,4,False,False,,,
"Av. Hironildo Conceição dos Santos, 488 sl 09 Perequê",,Construtora, (47) 99931-8883 · ,https://www.facebook.com/gmais.empreendimentos/,G+ Empreendimentos - Porto Belo,5,True,True,https://www.facebook.com/help/cookies?ref_type=sitefooter,,
,,Construtora, (47) 99983-4851 · ,,"Pezzatti,Construtora e Incorporadora Ltda",6,,,,,
"R. Felix Walendowsky, n 153",,Construtora, (47) 99183-3861 · ,http://cosenzaempreendimentos.com.br/contact-us/,COSENZA EMPREENDIMENTOS,7,False,True,https://www.facebook.com/cosenzaportobelo/,,
Esq. Rua Raynerio Krieger Rua José Roberto Otto 182 Perequê,"5,0",Construtor Imobiliário, (47) 99246-1116 · ,,SUD INCORPORADORA,8,,,,,
"Av. Hironildo Conceição Dos Santos, número 890 Sala 02 Perequê",,Construtora, (47) 99285-1267 · ,,AZ Construção e Reforma,9,,,,,
R. José Ponciano da Silva,"5,0",Construtora de casas personalizadas, (47) 99235-1978 · ,https://sites.google.com/view/obra-prima-crm/p%C3%A1gina-inicial?authuser=0,Obra Prima crm,10,False,False,,,
"Av. Gov Celso Ramos, 2170",,Construtora, (47) 3368-8888 · ,,vitor hugo abraham corretor de imoveis,12,,,,,
"Rua Almirante Fonseca Neves, n°520 Perequê",,Construtora, (47) 3268-1975 · ,http://www.reveempreendimentos.com.br/,Revê Empreendimentos - Central de Negócios,13,,,,,True
"R. Beija Flôr, 141 - 02","4,5",Construtora, (47) 3363-6075 · ,http://construtoraportobelo.com.br/,Construtora Porto Belo,14,False,True,https://www.facebook.com/construtora.portobelo,,
"Av. Almirante Fonseca Neves, 454 Sala 01 Balneário Perequê",,Construtora, (48) 3263-4163 · ,http://www.leprimee.com.br/,Le Prime Empreendimentos,16,True,True,http://www.facebook.com/leprimeempreendimentos,http://www.instagram.com/leprimeempreendimentos/,
R. Egon Erwin Koehler,"3,0",Construtora, (47) 99781-1000 · ,http://f7empreendimentos.com.br/,MONTE HERMON - F7 EMPREENDIMENTOS,17,True,True,https://www.facebook.com/F7-Empreendimentos-1882364958539066/,https://www.instagram.com/f7empreendimentos/,
"R. Irineu José Moreira, 801",,Construtora, (47) 3369-4658 · ,,Zandonai & Zandonai,18,,,,,
"Av. Senador Atílio Fontana, 497 Perequê","4,8",Construtor Imobiliário, (47) 99200-0350 · ,http://phacz.com.br/,Phacz Empreendimentos,20,True,True,https://www.facebook.com/phaczempreendimentos/,https://www.instagram.com/phaczempreendimentos/,
"2ª Avenida, 842","4,7",Imobiliária, (47) 3368-0914 · ,/aclk?sa=l&ai=DChcSEwiI0fPW08_rAhWPC5EKHTK0B8kYABAAGgJjZQ&sig=AOD64_1kaVrLwzpboaWhs2Rvmk5X1p8Qng&adurl&q&ctype=99,Imobiliária Requinte,21,,,,,True
"Rodovia SC 412, 892","3,8",Empresa de Terraplenagem, (47) 3369-8633 · ,,Irmãos Perão,29,,,,,
"Av. Sen. Atílio Fontana, 947-969","4,6",Construtor Imobiliário, (47) 99285-1267 · ,,Condomínio Edificio Kirchner,30,,,,,
"R. Mário Padilha, 28","5,0",, (47) 99721-2547 · ,,Engenheiro civil,31,,,,,
"Av. Gov Celso Ramos, 401","4,9",Desenvolvedora de imóveis, (47) 99615-5255 · ,http://www.eduardocorretordeimoveis.com.br/,Eduardo Corretor de Imóveis,32,,,,,True
"R. 280, 270 - 1","4,9",Construtora, (47) 3268-0489 · ,http://www.conedconstrutora.com.br/,Coned Construtora e Incorporadora,33,,,,,True
R. 264,"5,0",Construtora, (47) 3368-5116 · ,http://www.dellagneloconstrutora.com.br/,Dellagnelo Construtora e Incorporadora,34,True,True,https://www.facebook.com/dellagneloconstrutora/,http://www.instagram.com/dellagneloconstrutora,
"Rua 294 , nº 245, (esq c/ a, 2ª Avenida","4,8",Construtora, (47) 3268-6512 · ,http://csegerconstrutora.com.br/,C’Seger Construtora e Incorporadora,35,True,True,,,
"Av. Nereu Ramos, 5055 - sala 1","4,8",Construtora, (47) 3368-4113 · ,http://www.construtorapasqualotto.com.br/,Pasqualotto Construtora e Incorporadora,36,True,True,https://www.facebook.com/Pasqualotto-Construtora-384134415024657/,https://www.instagram.com/pasqualottoconstrutora/,
"R. 295, 10 - Sala 101","4,3",Construtora, (47) 3368-4368 · ,https://jmasson.com.br/,J Masson Construtora,37,True,True,https://www.facebook.com/JMassonConstrutora,https://www.instagram.com/jmassonconstrutora/,
"Avenida Dorvalino Voltolini, 855 Perequê","3,0",Construtor Imobiliário, (47) 99958-9020 · ,,Maldives Residence,38,,,,,
"R. 314, 532",,Construtora, (47) 3368-1559 · ,,The Garden,39,,,,,
"Rua Doná Paulina, 87 Perequê","5,0",Empreiteira de serviços com gesso, (47) 99662-0656 · ,https://beniciorepresentante.wixsite.com/benicioreisesilva,Benício Reis e Silva - Representante Comercial,40,False,True,,,
"R. São Paulo, 410","4,5",Eletricista, (47) 99991-7687 · ,http://nicobadb.wixsite.com/meusite,NeG construções e reformas,41,False,True,,,
"R. 244, 615 - 1","5,0",Construtora, (47) 3368-6475 · ,,DB Construtora e Incorporadora,42,,,,,
"Rua 288, 359","4,5",Construtora, (47) 3369-5341 · ,,M.j.m Construtora E Incorporadora,43,,,,,
"Av. Nereu Ramos, 5320","3,3",Construtora, (47) 3369-6612 · ,,ALP Construtora,44,,,,,
"Edifício Las Vegas Bairro Meia Praia - R. 277, 4975","5,0",, (47) 3264-8198 · ,http://cbsconstrutora.com.br/,CBS Construtora e Incorporadora,46,True,True,https://www.facebook.com/CbsConstrutoraeIncorporadoraLtda/,https://www.instagram.com/cbsconstrutora/,
"R. 319, 247 - Sala 1","5,0",Construtora, (47) 3368-6475 · ,http://fejobi.com.br/,Incorporadora Fejobi,47,True,True,http://www.facebook.com/fejobi/,http://www.instagram.com/fejobi/,
"R. 246, n°246 - Sala 502","4,3",Construtora de casas personalizadas, (47) 3368-3576 · ,https://arskammer.com/,ARS Kammer Construtora,48,True,True,https://www.facebook.com/arskammer,https://www.instagram.com/arskammer/,
"Av. Nereu Ramos, 4848 - 55","4,4",Construtora de casas personalizadas, (47) 3368-5788 · ,http://www.ciprianiconstrutora.com.br/,Cipriani Construtora Inc. Ltda.,49,False,False,,,
"Av. Nereu Ramos, 3137","5,0",Construtora, (47) 3368-5199 · ,http://mpei.com.br/empreendimentos/,Construtora Meia Praia Empreendimentos,50,,,,,True
"R. 272, 30","5,0",Construtora, (47) 3368-1559 · ,http://construtorapotijuniors.com.br/,Venda de Sobrados Construtora Poti Junior's,51,True,True,https://www.facebook.com/poti.juniors,https://www.instagram.com/potijuniors/,
"R. 251, 96","4,9",Construtora, (47) 3268-2332 · ,http://www.absolutcon.com.br/,Absolutcon Empreendimentos,52,,,,,True
"Rua 288, n 349","5,0",Construtora, (47) 3368-6680 · ,http://construtoratalita.com.br/,Construtora e incorporadora Talita,53,True,True,,,
"R. 298, 310 - 02","4,9",Construtora, (47) 3368-5880 · ,http://santanaconstrutora.com.br/,Santana Construtora e Incorporadora,54,True,True,https://www.facebook.com/santana.construtorasc/,https://www.instagram.com/santanaconstrutora,
"Rua 283, 142","4,3",Construtora, (47) 3268-4472 · ,http://www.dkempreendimentos.com.br/,DK Empreendimentos Imobiliários,55,,,,,True
"R. 252, 209 - sala 2","3,8",Construtor Imobiliário, (47) 3366-5694 · ,http://www.zanellaconstrutora.com.br/,Zanella Construtora e Incorporadora,56,False,True,https://www.facebook.com/Zanella-Construtora-1566167527045243,,
"R. 250, 375","5,0",Construtor Imobiliário, (47) 3264-0707 · ,http://www.jdadamconstrutora.com.br/web/,J.Dadam Construtora e Incorporadora,57,,,,,True
R. das Flores,"4,5",Empreiteira de serviços com gesso, (47) 99958-9020 · ,,GLORY GESSO E DECORACOES,58,,,,,
"R. 268, 139","4,6",Construtora, (47) 3368-5557 · ,,Construtora Chapecó Ltda,59,,,,,
"R. 234, 275","5,0",Construtora, (47) 3368-8536 · ,http://prointi.com.br/,Prointi Construtora e Incorporadora,60,False,False,,,
"Rua: 260, nº287 , sala 01","5,0",Construtora, (47) 3369-3003 · ,http://www.macomconstrutora.com.br/,Macom Construtora e Incorporadora,61,True,True,https://www.facebook.com/MacomConstrutora/,https://www.instagram.com/macom_construtora_/,
"R. Araçá, 900","4,5",Construtora, (47) 99644-0451 · ,https://dikasabbs.negocio.site/?utm_source=gmb&utm_medium=referral,Dicasa Casas Pre fabricadas,62,False,False,,,
"Av. Nereu Ramos, 3358 - 01","5,0",Construtora, (47) 3363-2800 · ,http://forteconstrutorasc.com.br/,Forte Construtora e Incorporadora,63,False,False,,,
"Av.gov.celso Ramos,1345 Perequê","3,3",Construtora, (47) 3369-8586 · ,http://www.praticoandaimes.com.br/,Prático Andaimes,64,False,True,https://www.facebook.com/Pr%C3%A1tico-Loca%C3%A7%C3%B5es-458903744258624,,
"R. 256, 369 - sala 03","5,0",Construtor Imobiliário, (47) 3268-6168 · ,https://www.construtoraexatus.com/,Exatus Construtora,66,,,,,True
"R. 264, nº 75 - Sala 01","4,9",Construtora, (47) 3345-9615 · ,http://gvconstrutora.com/,GV Construtora e Incorporadora,67,True,True,https://www.facebook.com/GV-Construtora-189307098207674/,https://www.instagram.com/gvconstrutora/,
"Rua 236, 590","4,5",Construtora, (47) 3368-0018 · ,http://www.proforconstrutora.com.br/,Profor Construtora,68,True,True,https://www.facebook.com/proforconstrutoraeincorporadora/?epa=SEARCH_BOX,https://www.instagram.com/proforconstrutora/,
"R. 456, 263","4,4",Construtora, (47) 3268-1876 · ,https://santanaconstrutora.com.br/,Construtora Santana,69,True,True,https://www.facebook.com/santana.construtorasc/,https://www.instagram.com/santanaconstrutora,
"R. Maracujá, 204","5,0",Construtora, (47) 4108-1108 · ,https://bombinhas.net.br/construtoras-bombinhas,Construtora Bombinhas - Construção de Casas Pré Fabricadas Moldadas Terraplanagem,70,True,True,https://www.facebook.com/wordpress,https://www.instagram.com/explore/tags/wordcamp/,
"R. 302, 5222 - Sala 05","5,0",Construtora, (47) 3515-0077 · ,http://www.artconempreendimentos.com.br/,Artcon Empreendimentos,71,,,,,True
"R. 254, 148 - s 1","4,9",Construtora, (47) 3268-0863 · ,,Rig Construtora e Incorporadora Ltda,72,,,,,
"R. 277, 81","5,0",Construtora, (47) 3368-6680 · ,,Related Incorporação Ltda,73,,,,,
"R. 248, 199 - sala 02","5,0",Construtora, (47) 3268-1938 · ,http://www.neconstrutora.com.br/,NE Construtora,74,False,False,,,
"R. 244, 163","4,4",Construtora, (47) 3268-3754 · ,http://www.gesseleempreendimentos.com.br/,Gessele Empreendimentos,75,True,False,,https://www.instagram.com/gesseleempreendimentos/?hl=pt-br,
"R. 234, 170","5,0",Construtora, (47) 3366-5694 · ,,CCV Construtora E Incorporadora,76,,,,,
"R. 222, nº 160","5,0",Construtora, (47) 3363-5940 · ,http://www.construtoradetalhe.com.br/,Detalhe Construtora e Incorporadora Ltda,77,True,True,https://www.facebook.com/DetalheConstrutora/,https://www.instagram.com/detalheconstrutora/,
"R. 234, 169","4,5",Construtora, (47) 3368-5880 · ,,S C I Construtora e Incorporadora Ltda,78,,,,,
"Edifício Embaixador - R. 252, 107 - Sala 03","4,4",Construtora, (47) 3264-5919 · ,http://www.selentconstrutora.com.br/,Selent Construtora e Incorporadora,80,,,,,True
"Av. Leopoldo Zarling, 112","4,5",Construtora, (47) 3336-0048 · ,http://www.imobiliariasbombinhas.com.br/,Imóveis Bombinhas - Alliance Construtora e incorporadora Ltda,82,True,True,https://www.facebook.com/zeniimoveis/,https://www.instagram.com/zeniimoveis/,
"R. 252, 480 - Sala 07","4,2",Construtora, (47) 3368-0900 · ,,Engeart Construtora e Incorporadora Ltda,83,,,,,
"R. 260 - A, nº 287","3,3",Construtora, (47) 99254-9144 · ,https://macomconstrutora.com.br/contato/,Macom Construtora,84,True,True,https://www.facebook.com/MacomConstrutora/,https://www.instagram.com/macom_construtora_/,
"R. 248, 322","5,0",Construtora, (47) 3268-0033 · ,,Impacta Construtora E Incorporadora Ltda,85,,,,,
"R. 205, n. 75, Sala 604 - Siframar Platinum Executive","5,0",Construtora de casas personalizadas, (47) 3247-0902 · ,http://www.gdaconstrutora.com.br/,Construtora e Incorporadora GDA,86,False,False,,,
"R. 252, n 220","5,0",Construtora, (47) 3268-4390 · ,http://selcor.com.br/,Selcor Empreendimentos,87,,,,,True
"Avenida Leopoldo Zarling N° 925 - Sala 01,02","4,7",Construtora, (47) 3264-0805 · ,http://www.construbosio.com.br/,Construbosio Construtora e Incorporadora,88,False,False,,,
"Rua Colibri, 277","4,4",Construtora, (47) 3268-1876 · ,,Sks Construtora E Incorporadora,89,,,,,
"Rua: entre 254 e 254-A, Nº 842, em frente a, 2ª Avenida","5,0",Construtora, (47) 3268-6512 · ,http://www.csegerconstrutora.com.br/,Bauhaus Residence,90,True,True,,,
"R. 234, 108 - Sala 01","5,0",Construtor Imobiliário, (47) 3248-2236 · ,http://hmsconstrutora.com.br/,HMS Construtora e Incorporadora Ltda,91,True,True,https://www.facebook.com/hmsconstrutora,https://www.instagram.com/hmsconstrutora/,
"Av. Nereu Ramos, 3137 - sala 06","3,3",Construtora, (47) 3363-1379 · ,http://construtoradallano.com.br/,Dallano Empreendimentos,92,,,,,True
"R. Pirajica, 99","5,0",Construtora, (47) 3268-1938 · ,http://costaincorporadora.com.br/,Costa Construtora E Incorporadora,94,True,True,https://www.facebook.com/costaincorporadora/,https://www.instagram.com/costa_incorporadora_mariscal/,
"Rua 414, n. 188, Sala 01, Ed. Gálatas Residence -","5,0",Construtora, (47) 3268-0064 · ,http://vprempreendimentos.com.br/,VPR Empreendimentos,95,False,False,,,
"Av. Nereu Ramos, 3284","4,6",Construtora, (47) 3261-7300 · ,http://www.jarussi.com.br/,Construtora Incorporadora J A Russi Ltda,96,True,True,https://www.facebook.com/jarussiconstrutora/,https://www.instagram.com/jarussiconstrutora/,
"R. 242, 380 - sala 04","5,0",Construtora, (47) 3246-3226 · ,,C2 Construtora e Incorporadora,97,,,,,
"Avenida Nereu Ramos, nº 3344, Edifício Centro Executivo Torre Dourada , - sala 72","5,0",Construtora, (47) 3248-4172 · ,http://www.brasinempreendimentos.com.br/,Brasin Empreendimentos,98,,,,,True
"R. Ariranha, 09","5,0",Engenheiro civil, (47) 3393-6296 · ,https://engenhariaziguel.negocio.site/,Ezequiel J. Szczygiel - Engenharia & Arquitetura. ZIGUEL - Construtora LTDA. T R S S - CONSTRUTORA E INCORPORADORA - ME,99,False,False,,,
"Rua 205, nº 2800 Sala 1007 - Platinum Executive","5,0",Construtora, (47) 3268-1854 · ,http://www.zanois.com.br/,Zanois Empreendimentos Imobiliários,100,True,True,https://www.facebook.com/zanoisempreendimentos,https://www.instagram.com/zanoisempreendimentos/,
"Av. Leopoldo Zarling, 1708 - sala 03","5,0",Construtora, (47) 99671-1002 · ,,PJA Construtora e Incorporadora,101,,,,,
"Rua 222, nº 258, Sala 01 Ed. Atlantic House","5,0",Construtora, (47) 3248-5919 · ,https://www.agvselentconstrutora.com.br/,AGV Selent - Construtora e Incorporadora,102,False,False,,,
"R. Baleia Jubarte, 242","4,0",Construtora, (47) 3393-7447 · ,http://www.vosconstrutora.com.br/,Vos Construtora e Incorporadora Ltda,103,False,False,,,
"N Sala 01, Av. Nereu Ramos, 3040","4,7",Construtor Imobiliário, (47) 3398-0013 · ,http://www.construtorawf.com/,Construtora e Incorporadora W F,104,True,True,https://pt-br.facebook.com/WFConstrutoraIncorporadora/,https://www.instagram.com/wfconstrutoraincorporadora/,
"Av. Leopoldo Zarling, 2686","5,0",Construtora, (47) 3369-1017 · ,,CONSTRUTORA LUZZI LTDA,105,,,,,
"BR-101, S/N","3,9",Empreiteiro de concreto, (47) 3367-1102 · ,,Concreporto,106,,,,,
"Av. Nereu Ramos, 513","5,0",Construtora, (47) 3368-8900 · ,,Marchi Construtora e Incorporadora,107,,,,,
"R. Mergulhão Caçador, 335","4,9",Construtora, (47) 3369-1724 · ,http://www.construtoracontinente.com.br/,Continente Construtora e Incorporadora,108,True,True,https://www.facebook.com/continenteconstrutora/,https://www.instagram.com/construtoracontinente/,
"R. 298, n 401","5,0",Construtor Imobiliário, (47) 3363-3751 · ,http://pessoaempreendimentos.com.br/,Pessoa Empreendimentos,109,False,False,,,
"R. Tangará, 290 - 01","5,0",Construtora, (47) 3369-1609 · ,http://construtoraverticall.com.br/,Verticall Construtora,110,,,,,True
"R. Rio Nilo, 1-117","5,0",Construtora, (47) 99240-7454 · ,,Obra Rua Rio Nilo.,111,,,,,
"R. 157, 30","3,3",Construtora, (47) 3368-7139 · ,,LCN Construtora e Incorporadora Ltda,112,,,,,
"Av. Falcão, 456","5,0",Construtora, (47) 3369-1410 · ,,FAL-Fábio Antônio Lehmkuhl Engenheiro Civil,113,,,,,
"Rua 234, n.440 ao 450","4,6",Construtora, (47) 98417-8935 · ,,SC MERIDIAN RESIDENCE,116,,,,,
"Av. Nereu Ramos, 3070 - sala 01","5,0",Construtora, (47) 3368-5366 · ,http://www.construtoragandin.com.br/,M G V Construtora e Incorporadora,117,,,,,True
"R. Duzentos e Vinte e Seis, 221","5,0",Construtora, (47) 98407-2105 · ,,Sun Invest Construtora E Incorporadora,118,,,,,
"Av. Aroeira da Praia, 2082","4,7",Construtor Imobiliário, (47) 3369-0007 · ,http://www.costaincorporadora.com.br/,Costa Construtora e Incorporadora,119,True,True,https://www.facebook.com/costaincorporadora/,https://www.instagram.com/costa_incorporadora_mariscal/,
"R. Gov. Celso Ramos, 198","5,0",Construtora, (47) 99780-6049 · ,http://fellerconstrutora.com.br/contato/,Feller construtora,120,,,,,True
"Av. Nereu Ramos, 544","5,0",Construtora, (47) 99671-1002 · ,http://www.construtoran1.com.br/,Number One Construtora E Incorporadora Ltda,121,,,,,True
"Rua 406, nº 234","5,0",Construtora, (47) 3368-0016 · ,http://rosesandriempreendimentos.com.br/,Rose Sandri Empreendimentos,122,,,,,True
"Av. Fragata, esq, R. Tucano, 333","4,0",Construtora, (47) 3369-1410 · ,http://construtoramaster.com.br/,Master Construtora Ltda,123,,,,,True
"Rua Tico Tico nº 290 - esq. com, Av. Fragata, Sala 01","4,7",Construtora, (47) 3369-1609 · ,https://www.construtoraverticall.com.br/,Verticall Construtora e Incoporadora,124,False,True,http://facebook.com/Verticall-Construtora-e-Incorporadora-311603759320128,,
Av. Marginal Leste,"5,0",Construtora, (47) 3369-1017 · ,,Ls Construtora & Incorporadora,125,,,,,
"R. Gov. Celso Ramos, 707 - sala 02","3,9",Construtora, (47) 99102-2647 · ,http://www.gns1.com.br/,GNS1,126,False,True,https://www.facebook.com/gns1empreendimentos/,,
"Rua Rudy Bayer, 368","5,0",Construtora, (47) 99916-1000 · ,https://www.portopillar.com/,Porto Pillar Construtora e Incorporadora,128,,,,,True
R. 902 C,"5,0",Construtora, (47) 99612-1015 · ,https://sites.google.com/site/assoconstrutora/,Construtora Asso - Itapema,129,False,False,,,
"R. Tubarão, 113","5,0",Construtora, (47) 3368-7245 · ,http://www.vigaekempreendimentos.com.br/,Viga & K Empreendimentos,130,,,,,True
"Rua Marechal Deodoro, 671","4,6",Construtor Imobiliário, (48) 3263-1125 · ,http://www.arcko.com.br/,Construtora Arcko - Empreendimentos Imobiliários,131,True,True,https://www.facebook.com/arckoempreendimento/,https://www.instagram.com/arckoempreendimentos_/,
"R. 305, 200","4,8",Construtor Imobiliário, (47) 3368-6888 · ,http://www.neuhausinc.com.br/,NEUHAUS Incorporadora,132,True,True,,,
"R. Salmão, 71 - Sala 3","3,0",Construtora, (47) 3264-6378 · ,,Lily Construtora e Incorporadora Ltda,133,,,,,
"Av. Nereu Ramos, 690 - 03","5,0",Construtora, (47) 3268-0337 · ,http://ceacabral.com.br/,CEA CABRAL,134,True,True,https://www.facebook.com/ceacabral,https://www.instagram.com/ceacabral/,
"R. 716, 73","5,0",Construtora, (47) 99242-2342 · ,http://www.snibrasil.com.br/Contact,SNIBRASIL - Construtora & Incorporadora,135,True,True,https://facebook.com/Sni-Brasil-Construtora-e-Incorporadora-Ltda-217980545425687/,https://www.instagram.com/snibrasilconstrutora,
"R. 616 A, N445","5,0",Construtora, (47) 99952-6612 · ,,IMPROTEC IMPERMEABILIZAÇÕES,136,,,,,
"Avenida Governador Celso Ramos, 385 Pereque","5,0",Piscina, (47) 3369-4838 · ,https://www.splashpiscinas.com.br/,Piscinas Splash,137,True,True,https://www.facebook.com/Splash-Piscinas-1736681536406429/,https://www.instagram.com/splashpiscinasoficial/,
"Av. Bayer Filho, 167 - Sala 3","4,3",Construtora, (48) 99932-6916 · ,http://www.moreempreendimentos.com.br/,More Empreendimentos,138,True,True,http://www.facebook.com/moreempreendimentos/?fref=ts,http://www.instagram.com/moreempreendimentos/,
"Rua 119, Esquina, R. 115A, N 150 - Sala 03","5,0",Construtora, (47) 99244-9663 · ,https://www.facebook.com/tracoeprojeto/,Traço & Projeto - Soluções em Habitação,139,True,True,https://www.facebook.com/tracoeprojeto/posts,,
"Av. Bayer Filho, 914 - SL 09","5,0",Construtor Imobiliário, (48) 3263-4806 · ,http://jbgconstrutora.com.br/,Jbg Construtora e Incorporadora Eireli,140,True,True,https://www.facebook.com/jbg.construtoraa/,https://www.instagram.com/jbg.construtora/,
"Av. Nereu Ramos, 4949","2,0",Construtora, (47) 3368-9717 · ,http://www.embraconci.com.br/,EMBRACONCI - Empresa Brasileira de Construção Civil,141,True,True,https://www.facebook.com/embraconci.sc/,https://www.instagram.com/embraconci.sc/,
"R. 304, nº 436 - Sala 01","4,9",Construtor Imobiliário, (47) 3268-0252 · ,http://www.versatilleempreendimentos.com.br/,Versatille Empreendimentos Imobiliários,143,True,True,https://www.facebook.com/versatilleempreendimentos/,https://www.instagram.com/versatilleempreendimentos/,
"Rua 246, n°246, sala 601, Ed. Kammer Center","5,0",Construtor Imobiliário, (47) 3050-5288 · ,http://www.pfempreendimentos.com.br/,Porto Florencio & Vequi,144,,,,,True
"R. 300, 44","4,1",Construtor Imobiliário, (47) 3368-4777 · ,http://www.meiapraia.com.br/,Meia Praia Imóveis,145,False,False,,,
"Sede Administrativa. Atendimento Comercial - Avenida Nereu Ramos, 4077 Ed. Dallo Business Center, 16. Andar","4,8",Construtor Imobiliário, (47) 3267-1111 · ,http://www.dallo.com.br/,Dallo Empreendimentos,146,True,True,https://www.facebook.com/dalloempreendimentos/,https://www.instagram.com/dalloempreendimentos/,
"R. Neri Francisco de Campos, 50 - SALA 03","5,0",Construtora, (48) 99807-4728 · ,http://mcincorporadorasc.com.br/,MC Construtora e Incorporadora,147,True,False,,https://www.instagram.com/construtora.mc/,
"Rua Leonor Baron, 173 Pereque","5,0",Construtora, (47) 3369-8797 · ,http://www.rohregger.com.br/,JR Construtora,148,,,,,True
"R. 312, 640","5,0",Imobiliária, (47) 99777-5701 · ,,Imobiliária Pratini,149,,,,,
"R. 266, 150 - Sala 05","5,0",Construtor Imobiliário, (47) 3264-6315 · ,,Compasso Empreendimentos,150,,,,,
"Rua 306, 155","4,6",Desenvolvedora de imóveis, (48) 3263-1125 · ,,Fischer Móveis Planejados,151,,,,,
"R. 244, 615","4,8",Construtor Imobiliário, (47) 3398-2276 · ,,Empramod Pré-Moldados,152,,,,,
"Av. Nereu Ramos, 4848 - sala 05","5,0",Engenheiro civil, (47) 3345-9601 · ,https://arthur-magro-engenharia.negocio.site/,Arthur Magro engenharia,153,False,False,,,
"Av. Nereu Ramos, 3322","4,8",Construtor Imobiliário, (47) 3368-5597 · ,http://www.rosecon.com.br/,Rosecon Empreendimentos,154,True,True,https://www.facebook.com/roseconempreendimentos,https://www.instagram.com/RoseconEmpreendimentos/,
"R. 229, no. 55 - sala 06","4,2",Imobiliária, (47) 3246-3186 · ,http://www.habitapema.com.br/,"Habitapema imoveis em Meia Praia Itapema SC TEMPORADA ALUGUEL FRENTE MAR , ALUGUEL TEMPORADA QUADRA MAR em Meia Praia Itapema, apartamentos temporada em Meia Praia FRENTE MAR , Itapema aluguel de temporada em Meia Praia, aluguel verão itapema aluguel verão meia praia, ALUGUEL ANUAL ,",155,False,True,,,
"Rua 240, 240 - Sala 1","4,9",Construtora, (47) 3268-0759 · ,http://www.amaralconstrucoes.com.br/,Amaral Construções,156,,,,,True
"Av. Nereu Ramos, 3055","5,0",Construtor Imobiliário, (47) 3368-4811 · ,https://www.rosecon.com.br/construtora-em-itapema-meia-praia,Rosecon - Central De Vendas,157,True,True,https://www.facebook.com/roseconempreendimentos,https://www.instagram.com/RoseconEmpreendimentos/,
"R. 278, 578 - Sala 01","5,0",Imobiliária, (47) 99643-0964 · ,https://www.grupoconectaitapema.com.br/,Grupo Conecta Itapema,158,,,,,True
"R. 270, número 26 - sala 06","5,0",Imobiliária, (47) 3268-1505 · ,https://www.novaeraitapema.com.br/,Imobiliária em Meia Praia Itapema,159,,,,,True
"R. 252, 220 - Sala 01","5,0",, (47) 3268-4114 · ,http://selcor.com.br/,Simone Selent Correia,160,,,,,True
"Condomínio Acqua Di Zimbros - R. Abacate, 225 - Lote 6 quadra 1","5,0",Prestador de serviços de construção civil, (47) 99761-2328 · ,https://oliveiraempreiteira.negocio.site/?m=true,Oliveira Construções,162,False,False,,,
"Avenida Nereu Ramos, 2800 Esquina com Siframar Platinum Executive Rua 205, sala 801","4,9",Escritório da empresa, (47) 3267-1925 · ,https://www.projevil.com.br/,Projevil Engenharia - Projetos de Engenharia - Estruturas - Itapema/SC,163,True,True,https://www.facebook.com/Projevil-Engenharia-422783694774109/,https://www.instagram.com/projevilengenharia/,
"R. 244, 615 - Sala 01","4,5",Desenvolvedora de imóveis, (47) 3398-4007 · ,http://www.debritoimoveis.com.br/,De Brito Imóveis,165,,,,,True
"R. 264, 52 - 17","3,8",Construtor Imobiliário, (47) 3264-2972 · ,http://du-art.com.br/,Du-Art Empreendimentos Imobiliários LTDA,166,True,True,https://www.facebook.com/empreendimentos.duart/,https://www.instagram.com/empreendimentos.duart/,
"Av. Emilia Ramos, 629","5,0",Construtora, (48) 99816-5211 · ,,Ss serviços,167,,,,,
"R. Antônio Lopes Gonçalves Bastos, 2287","4,5",Construtora, (47) 3261-6500 · ,http://www.geotesc.com.br/,Geotesc Fundações,169,False,True,https://www.facebook.com/Geotesc,,
"R. Urussanga, 880","4,3",Construtora, (48) 99944-6217 · ,,Construblocos (Blocos de Concreto),170,,,,,
"Rua 229, nr. 55, Sala 06 Edificio Alice e Gustavo","5,0",Construtora, (47) 99656-8459 · ,https://flavia-rech-arquitetura-e-interiores.negocio.site/?utm_source=gmb&utm_medium=referral,"FLAVIA RECH PROJETOS DE ARQUITETURA E INTERIORES, DESIGN DE INTERIORES EM MEIA PRAIA ITAPEMA SC - REVIT, ARQUITETO ITAPEMA, ARQUITETO MEIA PRAIA, escritorio arquitetura, projetos arquitetonicos, arquitetura e urbanismo, decoracao de interiores"" ARQUITETO BALNEARIO CAMBORIU, REVIT BALNEARIO CAMBORIU",171,False,False,,,
